Marca,Modelo,Alemania (€),Países Bajos (€),Reino Unido (£),Precio_Rango,Rango,Bateria,Eficiencia,Peso,Remolque,Carga_Rapida,Carga_Vol,Rango_1_parada,Traccion_trasera,Traccion_delantera,Segmento_mercado,Clasificacion_seguridad,Numero_asientos,Bomba_calor,Carga_bidireccional,Imagen_tag,Sitio
CUPRA,Tavascan VZ,No disponible,No disponible,No disponible,144,425 km,77.0 kWh,181 Wh/km,2273 kg,1200,120,540,446,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/CUPRA_Tavascan_2024/CUPRA_Tavascan_2024-01-thumb.jpg,https://ev-database.org/
Toyota,bZ4X AWD,No disponible,No disponible,No disponible,160,345 km,64.0 kWh,186 Wh/km,2070 kg,750,100,452,377,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Toyota_bZ4X/Toyota_bZ4X-01-thumb.jpg,https://ev-database.org/
Opel,Mokka-e 50 kWh,"€40,650","€36,999","£36,610",154,260 km,46.3 kWh,178 Wh/km,1598 kg,0,78,310,285,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Opel_Mokka-e/Opel_Mokka-e-01-thumb.jpg,https://ev-database.org/
XPENG,G9 RWD Long Range,No disponible,No disponible,No disponible,130,480 km,93.1 kWh,194 Wh/km,2285 kg,1500,224,731,592,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/XPENG_G9/XPENG_G9-01-thumb.jpg,https://ev-database.org/
Renault,Megane E-Tech EV60 220hp (TU2025),No disponible,No disponible,No disponible,102,380 km,60.0 kWh,158 Wh/km,1719 kg,900,87,440,410,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Renault_Megane_ETech/Renault_Megane_ETech-01-thumb.jpg,https://ev-database.org/
Kia,EV9 99.8 kWh RWD,No disponible,No disponible,No disponible,160,450 km,96.0 kWh,213 Wh/km,2501 kg,900,194,423,502,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_EV9_2023/Kia_EV9_2023-01-thumb.jpg,https://ev-database.org/
Polestar,2 Long Range Single Motor,"€50,995","€52,200","£46,450",124,420 km,75.0 kWh,179 Wh/km,2069 kg,1500,108,440,451,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Polestar_2_2022/Polestar_2_2022-01-thumb.jpg,https://ev-database.org/
Smart,#1 Pro+,No disponible,No disponible,No disponible,129,335 km,62.0 kWh,185 Wh/km,1863 kg,1600,100,338,364,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Smart_1_2023/Smart_1_2023-01-thumb.jpg,https://ev-database.org/
MG,ZS EV,"€31,990","€30,985","£26,095",141,220 km,42.5 kWh,193 Wh/km,1566 kg,0,53,448,222,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/MG_ZS_EV/MG_ZS_EV-01-thumb.jpg,https://ev-database.org/
Kia,EV6 Long Range 2WD,No disponible,No disponible,No disponible,111,455 km,80.0 kWh,176 Wh/km,2050 kg,1800,205,542,565,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_EV6_2024/Kia_EV6_2024-01-thumb.jpg,https://ev-database.org/
MG,Cyberster GT,No disponible,No disponible,No disponible,176,395 km,74.4 kWh,188 Wh/km,2060 kg,0,85,249,409,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/MG_Cyberster/MG_Cyberster-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 5 84 kWh AWD (MY24),No disponible,No disponible,No disponible,134,445 km,80.0 kWh,180 Wh/km,2165 kg,1600,205,544,553,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ5_2024/Hyundai_IONIQ5_2024-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 5 Long Range 2WD (MY22),"€47,900","€52,895","£46,945",132,390 km,74.0 kWh,190 Wh/km,2010 kg,1600,200,584,492,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb.jpg,https://ev-database.org/
BYD,DOLPHIN 44.9 kWh Active,No disponible,"€29,990",No disponible,113,265 km,44.9 kWh,169 Wh/km,1650 kg,0,50,345,251,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_DOLPHIN/BYD_DOLPHIN-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.7 Tourer Pro S,No disponible,No disponible,No disponible,117,520 km,86.0 kWh,165 Wh/km,2235 kg,1000,145,605,589,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID7_Tourer/Volkswagen_ID7_Tourer-01-thumb.jpg,https://ev-database.org/
Polestar,4 Long Range Single Motor,No disponible,No disponible,No disponible,133,495 km,94.0 kWh,190 Wh/km,2305 kg,1500,135,541,533,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Polestar_4_2024/Polestar_4_2024-01-thumb.jpg,https://ev-database.org/
Peugeot,e-2008 SUV,"€35,450","€40,930","£30,730",143,260 km,46.3 kWh,178 Wh/km,1623 kg,0,78,434,285,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Peugeot_e-2008_SUV/Peugeot_e-2008_SUV-01-thumb.jpg,https://ev-database.org/
XPENG,G6 RWD Standard Range,No disponible,No disponible,No disponible,121,370 km,66.0 kWh,178 Wh/km,2100 kg,0,140,571,443,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/XPENG_G6/XPENG_G6-01-thumb.jpg,https://ev-database.org/
Porsche,Macan 4 Electric,No disponible,No disponible,No disponible,180,470 km,95.0 kWh,202 Wh/km,2405 kg,2000,200,624,563,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Porsche_Macan_4_2024/Porsche_Macan_4_2024-01-thumb.jpg,https://ev-database.org/
Lotus,Eletre,No disponible,No disponible,No disponible,202,495 km,109.0 kWh,220 Wh/km,2565 kg,2250,259,657,604,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Lotus_Eletre/Lotus_Eletre-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,EQA 250+,No disponible,No disponible,No disponible,129,420 km,70.5 kWh,168 Wh/km,2050 kg,1500,90,340,414,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mercedes_EQA_2024/Mercedes_EQA_2024-01-thumb.jpg,https://ev-database.org/
Mini,Cooper SE,No disponible,No disponible,No disponible,117,330 km,49.2 kWh,149 Wh/km,1680 kg,0,75,200,356,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mini_Cooper_Electric_2024/Mini_Cooper_Electric_2024-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.4 Pure,No disponible,No disponible,No disponible,141,285 km,52.0 kWh,182 Wh/km,1978 kg,1000,87,543,318,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID4_2024/Volkswagen_ID4_2024-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.5 Pro,No disponible,No disponible,No disponible,117,460 km,77.0 kWh,167 Wh/km,2130 kg,1000,120,549,508,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID5_2024/Volkswagen_ID5_2024-01-thumb.jpg,https://ev-database.org/
BMW,iX xDrive45,No disponible,No disponible,No disponible,182,470 km,94.8 kWh,202 Wh/km,2525 kg,2500,115,500,490,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_iX_2025/BMW_iX_2025-01-thumb.jpg,https://ev-database.org/
BMW,i5 eDrive40 Sedan (MY25),No disponible,No disponible,No disponible,157,480 km,81.2 kWh,169 Wh/km,2195 kg,1500,136,490,547,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i5_eDrive40_Sedan/BMW_i5_eDrive40_Sedan-01-thumb.jpg,https://ev-database.org/
MG,MG4 Electric 77 kWh,No disponible,No disponible,No disponible,101,425 km,74.4 kWh,175 Wh/km,1826 kg,500,110,363,454,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb.jpg,https://ev-database.org/
Nissan,Leaf,"€35,900","€25,700","£28,495",134,235 km,39.0 kWh,166 Wh/km,1580 kg,0,40,435,218,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Nissan_Leaf_2022/Nissan_Leaf_2022-01-thumb.jpg,https://ev-database.org/
Opel,Grandland 73 kWh,No disponible,No disponible,No disponible,124,365 km,73.0 kWh,200 Wh/km,2207 kg,1200,90,550,381,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Opel_Grandland_2024/Opel_Grandland_2024-01-thumb.jpg,https://ev-database.org/
Tesla,Model S P100D,"€145,420","€151,020","£127,750",311,475 km,95.0 kWh,200 Wh/km,2316 kg,0,100,895,477,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg,https://ev-database.org/
Peugeot,e-208 51 kWh,No disponible,No disponible,No disponible,126,310 km,48.1 kWh,155 Wh/km,1550 kg,0,80,265,338,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Peugeot_e-208_2024/Peugeot_e-208_2024-01-thumb.jpg,https://ev-database.org/
BMW,i4 M50,No disponible,No disponible,No disponible,173,450 km,81.3 kWh,181 Wh/km,2290 kg,1600,131,470,516,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i4_M50_2024/BMW_i4_M50_2024-01-thumb.jpg,https://ev-database.org/
firefly,firefly,No disponible,No disponible,No disponible,120,250 km,41.2 kWh,165 Wh/km,1442 kg,0,65,496,271,,,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Firefly_2025/Firefly_2025-01-thumb.jpg,https://ev-database.org/
Tesla,Model S 90D,"€103,320","€105,735",N/A,230,455 km,85.5 kWh,188 Wh/km,2223 kg,0,90,895,449,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg,https://ev-database.org/
Skoda,Enyaq iV 60,"€42,100","€44,990","£38,970",129,340 km,58.0 kWh,171 Wh/km,1965 kg,1000,82,585,361,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 6 Long Range AWD,No disponible,No disponible,No disponible,135,440 km,74.0 kWh,168 Wh/km,2095 kg,1500,200,416,568,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ6_2022/Hyundai_IONIQ6_2022-01-thumb.jpg,https://ev-database.org/
Tesla,Model S 85D,"€92,800","€96,200",N/A,225,420 km,80.8 kWh,192 Wh/km,2184 kg,0,95,895,423,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S/Tesla_Model_S-01-thumb.jpg,https://ev-database.org/
Peugeot,e-5008 97 kWh Long Range,No disponible,No disponible,No disponible,115,485 km,96.9 kWh,200 Wh/km,2316 kg,1000,135,348,496,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Peugeot_e-5008_2024/Peugeot_e-5008_2024-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID. Buzz LWB Pro,No disponible,No disponible,No disponible,168,370 km,86.0 kWh,232 Wh/km,2628 kg,1000,145,1340,407,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID_Buzz_LWB/Volkswagen_ID_Buzz_LWB-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.7 Tourer Pro,No disponible,No disponible,No disponible,117,470 km,77.0 kWh,164 Wh/km,2191 kg,1000,125,605,535,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID7_Tourer/Volkswagen_ID7_Tourer-01-thumb.jpg,https://ev-database.org/
Opel,Corsa Electric 51 kWh,No disponible,No disponible,No disponible,118,315 km,48.1 kWh,153 Wh/km,1544 kg,0,80,267,341,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Opel_Corsa_Electric_2023/Opel_Corsa_Electric_2023-01-thumb.jpg,https://ev-database.org/
Hyundai,Kona Electric 48 kWh,No disponible,No disponible,No disponible,138,295 km,48.4 kWh,164 Wh/km,1690 kg,300,50,493,288,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_Kona_Electric_2024/Hyundai_Kona_Electric_2024-01-thumb.jpg,https://ev-database.org/
Tesla,Model S 85,"€87,400","€90,600",N/A,220,405 km,80.8 kWh,199 Wh/km,2175 kg,0,95,895,408,,,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S/Tesla_Model_S-01-thumb.jpg,https://ev-database.org/
Honda,e,"€33,850","€36,160","£34,365",215,170 km,28.5 kWh,168 Wh/km,1588 kg,0,32,171,169,,,No disponible,4,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Honda_e/Honda_e-01-thumb.jpg,https://ev-database.org/
DS,N°8 AWD Long Range,No disponible,No disponible,No disponible,139,530 km,97.2 kWh,183 Wh/km,2364 kg,1400,130,620,552,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/DS_No8_2024/DS_No8_2024-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 6 Standard Range 2WD,No disponible,No disponible,No disponible,134,335 km,50.0 kWh,149 Wh/km,1850 kg,750,120,446,418,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ6_2022/Hyundai_IONIQ6_2022-01-thumb.jpg,https://ev-database.org/
Lancia,Ypsilon,No disponible,No disponible,No disponible,122,310 km,48.1 kWh,155 Wh/km,1561 kg,0,80,309,334,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Lancia_Ypsilon/Lancia_Ypsilon-01-thumb.jpg,https://ev-database.org/
Volvo,EX30 Twin Motor Performance (MY24-26),No disponible,No disponible,No disponible,147,335 km,64.0 kWh,191 Wh/km,1960 kg,1600,114,325,378,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 9 Long Range AWD,No disponible,No disponible,No disponible,149,490 km,106.0 kWh,216 Wh/km,2728 kg,2500,195,390,559,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ9_2024/Hyundai_IONIQ9_2024-01-thumb.jpg,https://ev-database.org/
Volvo,EX30 Single Motor (MY24-26),No disponible,No disponible,No disponible,137,275 km,49.0 kWh,178 Wh/km,1840 kg,1000,80,325,306,,,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb.jpg,https://ev-database.org/
Tesla,Model X Plaid,No disponible,No disponible,No disponible,280,465 km,95.0 kWh,204 Wh/km,2539 kg,2250,140,608,516,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_X_2021/Tesla_Model_X_2021-01-thumb.jpg,https://ev-database.org/
BYD,TANG,"€71,400","€69,990",No disponible,199,355 km,86.4 kWh,243 Wh/km,2705 kg,1500,109,235,342,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_TANG/BYD_TANG-01-thumb.jpg,https://ev-database.org/
BMW,iX2 eDrive20,No disponible,No disponible,No disponible,134,395 km,64.7 kWh,164 Wh/km,1960 kg,750,93,525,427,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_iX2_2024/BMW_iX2_2024-01-thumb.jpg,https://ev-database.org/
Nissan,Leaf e+,"€37,550","€40,290","£32,945",112,345 km,59.0 kWh,171 Wh/km,1756 kg,0,44,420,297,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Nissan_Leaf_2018/Nissan_Leaf_2018-01-thumb.jpg,https://ev-database.org/
Fiat,600e,No disponible,No disponible,No disponible,116,310 km,50.8 kWh,164 Wh/km,1595 kg,0,79,360,333,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Fiat_600e/Fiat_600e-01-thumb.jpg,https://ev-database.org/
Audi,Q6 e-tron performance,No disponible,No disponible,No disponible,145,490 km,94.9 kWh,194 Wh/km,2275 kg,2000,190,590,570,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_Q6_etron_2024/Audi_Q6_etron_2024-01-thumb.jpg,https://ev-database.org/
Nissan,e-NV200 Evalia,"€43,730","€45,173","£32,755",248,170 km,37.0 kWh,218 Wh/km,1667 kg,0,40,2000,157,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Nissan_e-NV200_Evalia_2018/Nissan_e-NV200_Evalia_2018-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.3 GTX,No disponible,"€51,990",No disponible,109,470 km,79.0 kWh,168 Wh/km,1985 kg,0,135,385,526,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID3_GTX_2024/Volkswagen_ID3_GTX_2024-01-thumb.jpg,https://ev-database.org/
Renault,Zoe ZE50 R135,"€37,840","€36,195","£29,995",117,310 km,52.0 kWh,168 Wh/km,1577 kg,0,41,338,271,No disponible,No disponible,No disponible,0,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Renault_Zoe_2020/Renault_Zoe_2020-01-thumb.jpg,https://ev-database.org/
BMW,i5 M60 xDrive Sedan,"€99,500","€109,463","£97,745",255,420 km,81.2 kWh,193 Wh/km,2380 kg,2000,136,490,479,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i5_M60_xDrive_Sedan/BMW_i5_M60_xDrive_Sedan-01-thumb.jpg,https://ev-database.org/
Tesla,Model S Long Range,"€79,990","€81,005","£74,980",155,530 km,95.0 kWh,179 Wh/km,2255 kg,0,110,894,561,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg,https://ev-database.org/
Audi,e-tron GT quattro,"€106,050","€111,505","£87,800",253,420 km,85.0 kWh,202 Wh/km,2350 kg,0,216,490,529,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_e-tron_GT_quattro/Audi_e-tron_GT_quattro-01-thumb.jpg,https://ev-database.org/
Skoda,Enyaq Coupe RS,No disponible,No disponible,No disponible,129,470 km,79.0 kWh,168 Wh/km,2239 kg,1200,135,570,534,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Skoda_Enyaq_Coupe_RS_2025/Skoda_Enyaq_Coupe_RS_2025-01-thumb.jpg,https://ev-database.org/
Polestar,2 Long Range Single Motor (MY26),No disponible,No disponible,No disponible,113,475 km,79.0 kWh,166 Wh/km,2084 kg,1500,125,448,533,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg,https://ev-database.org/
Lucid,Air Dream Edition R,"€218,000","€222,000",No disponible,321,685 km,118.0 kWh,172 Wh/km,2435 kg,0,185,739,786,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Lucid_Air/Lucid_Air-01-thumb.jpg,https://ev-database.org/
Subaru,Solterra AWD,No disponible,No disponible,No disponible,175,320 km,64.0 kWh,200 Wh/km,2085 kg,750,100,441,347,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Subaru_Solterra/Subaru_Solterra-01-thumb.jpg,https://ev-database.org/
Cadillac,Lyriq 600 E4,No disponible,No disponible,No disponible,175,460 km,102.0 kWh,222 Wh/km,2774 kg,1587,165,793,492,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Cadillac_Lyriq/Cadillac_Lyriq-01-thumb.jpg,https://ev-database.org/
Skoda,Elroq 50,No disponible,No disponible,No disponible,113,310 km,52.0 kWh,168 Wh/km,1949 kg,1000,90,470,351,,,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Skoda_Elroq_2024/Skoda_Elroq_2024-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID. Buzz Pro,"€64,581","€56,990","£59,035",183,345 km,77.0 kWh,223 Wh/km,2459 kg,1000,115,1121,368,,,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Volkswagen_ID_Buzz/Volkswagen_ID_Buzz-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 9 Long Range RWD,No disponible,No disponible,No disponible,138,500 km,106.0 kWh,212 Wh/km,2612 kg,1600,195,426,567,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ9_2024/Hyundai_IONIQ9_2024-01-thumb.jpg,https://ev-database.org/
Volkswagen,e-Up!,"€29,995","€25,850","£24,085",136,205 km,32.3 kWh,158 Wh/km,1248 kg,0,30,250,188,No disponible,No disponible,No disponible,3,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Volkswagen_e-Up-2019/Volkswagen_e-Up-2019-01-thumb.jpg,https://ev-database.org/
Audi,Q6 e-tron,No disponible,No disponible,No disponible,167,395 km,75.8 kWh,192 Wh/km,2200 kg,2000,150,590,459,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_Q6_etron_2024/Audi_Q6_etron_2024-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,EQS 450+,"€109,551","€109,090","£105,610",179,635 km,107.8 kWh,170 Wh/km,2480 kg,750,173,610,703,,,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Mercedes_EQS_2021/Mercedes_EQS_2021-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.3 Pro,No disponible,No disponible,No disponible,109,365 km,59.0 kWh,162 Wh/km,1815 kg,0,110,385,422,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID3_2024/Volkswagen_ID3_2024-01-thumb.jpg,https://ev-database.org/
NIO,EL7 Long Range,No disponible,No disponible,No disponible,224,430 km,90.0 kWh,209 Wh/km,2441 kg,2000,100,570,421,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/NIO_EL7/NIO_EL7-01-thumb.jpg,https://ev-database.org/
Maxus,MIFA 9,No disponible,No disponible,No disponible,197,365 km,84.0 kWh,230 Wh/km,2385 kg,1000,103,521,346,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Maxus_MIFA_9/Maxus_MIFA_9-01-thumb.jpg,https://ev-database.org/
BYD,SEALION 7 82.5 kWh AWD Design,No disponible,No disponible,No disponible,140,400 km,82.5 kWh,206 Wh/km,2415 kg,1500,115,578,422,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_SEALION_7/BYD_SEALION_7-01-thumb.jpg,https://ev-database.org/
Tesla,Model S Long Range Plus,"€81,990","€86,005","£79,980",156,555 km,98.0 kWh,177 Wh/km,2255 kg,0,125,894,620,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg,https://ev-database.org/
Kia,EV6 GT,"€72,990","€69,295","£62,645",198,360 km,74.0 kWh,206 Wh/km,2200 kg,1800,200,500,449,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_EV6_GT_2021/Kia_EV6_GT_2021-01-thumb.jpg,https://ev-database.org/
NIO,ET7 Standard Range,No disponible,No disponible,No disponible,201,415 km,73.5 kWh,177 Wh/km,2434 kg,2000,110,363,456,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/NIO_ET7/NIO_ET7-01-thumb.jpg,https://ev-database.org/
Renault,Twingo Electric,"€28,000","€24,190",No disponible,193,135 km,21.3 kWh,158 Wh/km,1186 kg,0,0,174,92,,,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Renault_Twingo_ZE_2020/Renault_Twingo_ZE_2020-01-thumb.jpg,https://ev-database.org/
Polestar,4 Long Range Dual Motor,No disponible,No disponible,No disponible,152,485 km,94.0 kWh,194 Wh/km,2430 kg,2000,135,541,524,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Polestar_4_2024/Polestar_4_2024-01-thumb.jpg,https://ev-database.org/
Tesla,Model S P90D,"€120,300","€122,400",N/A,292,415 km,85.5 kWh,206 Wh/km,2262 kg,0,90,895,408,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S/Tesla_Model_S-01-thumb.jpg,https://ev-database.org/
Smart,#1 Brabus,No disponible,No disponible,No disponible,158,325 km,62.0 kWh,191 Wh/km,1975 kg,1600,100,328,357,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Smart_1_Brabus_2023/Smart_1_Brabus_2023-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Long Range RWD,No disponible,"€46,993","£46,990",102,495 km,75.0 kWh,152 Wh/km,1825 kg,1000,124,649,586,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg,https://ev-database.org/
BMW,i4 eDrive35,"€56,500","€59,362","£49,995",134,430 km,67.0 kWh,156 Wh/km,2065 kg,1600,95,470,487,,,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i4_eDrive40/BMW_i4_eDrive40-01-thumb.jpg,https://ev-database.org/
Dacia,Spring Electric 65,No disponible,No disponible,No disponible,119,160 km,25.0 kWh,156 Wh/km,1032 kg,0,29,343,149,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Dacia_Spring_Electric_2024/Dacia_Spring_Electric_2024-01-thumb.jpg,https://ev-database.org/
