Marca,Modelo,Alemania (€),Países Bajos (€),Reino Unido (£),Precio_Rango,Rango,Bateria,Eficiencia,Peso,Remolque,Carga_Rapida,Carga_Vol,Rango_1_parada,Traccion_trasera,Traccion_delantera,Segmento_mercado,Clasificacion_seguridad,Numero_asientos,Bomba_calor,Carga_bidireccional,Imagen_tag,Sitio
Hyundai,IONIQ Electric,"€35,350","€37,015","£32,050",146,250 km,38.3 kWh,153 Wh/km,1602 kg,0,36,357,230,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ_Electric_2020/Hyundai_IONIQ_Electric_2020-01-thumb.jpg,https://ev-database.org/
Kia,EV3 Standard Range,No disponible,No disponible,No disponible,114,325 km,55.0 kWh,169 Wh/km,1800 kg,300,80,485,341,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_EV3_2025/Kia_EV3_2025-01-thumb.jpg,https://ev-database.org/
Renault,Megane E-Tech EV60 220hp,"€46,600","€42,990","£37,995",117,380 km,60.0 kWh,158 Wh/km,1711 kg,900,87,440,410,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Renault_Megane_ETech/Renault_Megane_ETech-01-thumb.jpg,https://ev-database.org/
CUPRA,Born 150 kW - 58 kWh,"€39,370","€36,939","£34,125",110,350 km,58.0 kWh,166 Wh/km,1811 kg,0,82,385,375,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Cupra_el-Born/Cupra_el-Born-01-thumb.jpg,https://ev-database.org/
BMW,i4 eDrive40,"€59,200","€62,992","£57,890",122,515 km,80.7 kWh,157 Wh/km,2125 kg,1600,131,470,584,,,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i4_eDrive40/BMW_i4_eDrive40-01-thumb.jpg,https://ev-database.org/
Leapmotor,T03,No disponible,No disponible,No disponible,85,225 km,36.0 kWh,160 Wh/km,1250 kg,0,30,210,212,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Leapmotor_T03/Leapmotor_T03-01-thumb.jpg,https://ev-database.org/
Hyundai,Kona Electric 64 kWh,"€42,900","€41,995","£37,750",110,390 km,64.0 kWh,164 Wh/km,1760 kg,300,64,332,363,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_Kona_Electric_2021/Hyundai_Kona_Electric_2021-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,EQA 250,No disponible,No disponible,No disponible,129,395 km,66.5 kWh,168 Wh/km,2045 kg,1500,100,340,405,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mercedes_EQA_2024/Mercedes_EQA_2024-01-thumb.jpg,https://ev-database.org/
Opel,Frontera 44 kWh,No disponible,No disponible,No disponible,118,245 km,44.0 kWh,180 Wh/km,1589 kg,350,60,460,260,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Opel_Frontera_2024/Opel_Frontera_2024-01-thumb.jpg,https://ev-database.org/
BYD,HAN,"€69,020","€69,990",No disponible,146,475 km,85.4 kWh,180 Wh/km,2325 kg,0,85,410,473,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_HAN/BYD_HAN-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,G 580,No disponible,No disponible,No disponible,510,360 km,116.0 kWh,322 Wh/km,3085 kg,0,150,555,359,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Mercedes_G-Class/Mercedes_G-Class-01-thumb.jpg,https://ev-database.org/
Mini,Cooper SE,"€35,700","€38,690","£32,550",207,180 km,28.9 kWh,161 Wh/km,1440 kg,0,44,211,183,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mini_Electric_2021/Mini_Electric_2021-01-thumb.jpg,https://ev-database.org/
